millis,aX,aY,aZ,gX,gY,gZ
66479,-0.610,-0.735,-2.177,-2.625,-93.201,-197.144
66488,-0.547,-0.770,-2.087,-5.310,-123.291,-185.242
66497,-0.529,-0.819,-2.017,1.526,-150.818,-175.476
66505,-0.552,-0.896,-1.923,9.155,-176.575,-169.983
66514,-0.601,-1.099,-1.805,10.315,-201.599,-168.518
66523,-0.649,-1.439,-1.625,1.831,-228.333,-167.908
66532,-0.698,-1.864,-1.421,-16.113,-255.371,-162.964
66540,-0.748,-2.368,-1.080,-37.292,-282.104,-148.315
66549,-0.820,-2.776,-0.579,-53.223,-304.138,-122.070
66558,-0.904,-3.004,0.049,-56.335,-315.125,-85.693
66567,-1.006,-3.013,0.718,-47.241,-314.880,-46.509
66576,-1.053,-2.950,1.263,-39.856,-304.626,-14.709
66584,-1.048,-2.842,1.769,-45.471,-289.307,8.850
66593,-1.031,-2.740,2.194,-63.599,-273.254,29.907
66602,-1.047,-2.624,2.463,-83.862,-253.296,50.964
66610,-1.045,-2.489,2.624,-97.717,-232.727,72.876
66619,-1.044,-2.266,2.718,-101.929,-214.172,95.886
66628,-1.065,-1.803,2.992,-98.083,-202.698,121.765
66637,-1.037,-1.267,3.379,-78.552,-197.021,140.381
66646,-0.848,-0.958,3.250,-62.683,-169.617,152.710
66654,-0.733,-0.716,3.126,-61.157,-122.559,145.447
66663,-0.814,-0.702,2.398,-57.617,-159.119,141.846
66672,-0.722,-0.512,2.245,-90.942,-113.708,153.442
66681,-0.775,-0.304,1.922,-109.131,-72.571,163.696
66689,-0.859,0.221,1.975,-97.168,-80.017,176.941
66698,-0.768,0.697,2.240,-58.655,-84.290,189.270
66707,-0.688,1.058,2.391,-3.784,-82.397,184.692
66716,-0.606,1.291,2.413,27.222,-69.092,171.326
66725,-0.560,1.419,2.266,30.701,-47.119,158.447
66733,-0.571,1.479,2.069,24.048,-25.085,143.066
66742,-0.580,1.554,1.964,20.752,-10.132,127.136
66751,-0.582,1.589,1.918,28.076,0.793,111.023
66760,-0.582,1.558,1.838,36.011,13.550,93.445
66768,-0.598,1.561,1.771,35.522,26.428,76.294
66777,-0.624,1.447,1.604,29.907,36.316,60.974
66786,-0.640,1.324,1.440,22.949,43.884,42.847
66795,-0.621,1.150,1.296,12.878,47.485,31.982
66803,-0.653,0.833,1.252,7.935,48.950,23.987
66812,-0.659,0.792,1.107,11.292,48.279,19.470
66821,-0.643,0.701,0.979,20.447,44.495,19.653
66830,-0.619,0.582,0.950,26.917,43.640,15.198
66839,-0.578,0.464,0.904,30.640,41.870,9.155
66847,-0.527,0.320,0.889,27.832,38.940,2.258
66856,-0.480,0.184,0.873,19.653,36.438,-3.418
66865,-0.458,0.081,0.866,10.254,33.630,-5.432
66874,-0.449,0.017,0.896,1.526,30.823,-3.967
66882,-0.462,-0.012,0.936,-4.150,28.931,-2.197
66891,-0.442,-0.036,0.987,-6.714,27.161,-1.953
66900,-0.422,-0.076,1.001,-5.249,24.475,-1.709
66909,-0.393,-0.129,1.022,-4.700,22.095,-1.221
66918,-0.387,-0.149,1.046,-5.554,18.433,-0.061
66926,-0.343,-0.168,1.079,-5.005,16.724,0.366
66935,-0.303,-0.193,1.096,-4.456,15.137,1.282
66944,-0.258,-0.220,1.110,-5.615,15.320,2.136
66952,-0.223,-0.235,1.109,-6.592,17.273,3.723
66961,-0.184,-0.226,1.095,-7.324,19.714,5.493
66970,-0.154,-0.205,1.071,-8.362,22.156,7.019
66979,-0.132,-0.200,1.030,-9.277,23.621,8.728
66988,-0.108,-0.191,0.990,-10.071,24.536,9.521
66996,-0.083,-0.177,0.966,-9.827,25.574,10.437
67005,-0.077,-0.176,0.929,-7.874,25.085,11.230
67014,-0.073,-0.169,0.904,-6.226,24.658,11.719
67023,-0.073,-0.168,0.907,-5.676,24.048,12.451
67032,-0.091,-0.155,0.894,-6.165,24.353,13.428
67041,-0.102,-0.156,0.875,-3.418,21.851,14.099
67049,-0.103,-0.149,0.877,-1.343,19.653,12.756
67058,-0.103,-0.157,0.889,-3.174,18.005,12.695
67066,-0.109,-0.161,0.886,-5.737,14.526,13.367
67075,-0.094,-0.135,0.900,-8.179,12.024,13.428
67084,-0.094,-0.099,0.953,-10.742,11.597,14.465
67093,-0.100,-0.079,0.969,-10.498,13.367,15.320
67102,-0.099,-0.061,0.973,-7.996,15.625,15.015
67110,-0.099,-0.067,0.942,-6.226,17.456,14.160
67119,-0.098,-0.058,0.947,-6.836,17.334,13.794
67128,-0.107,-0.039,0.969,-8.301,15.625,14.648
67137,-0.107,-0.034,0.967,-6.714,15.808,15.381
69461,-0.599,-0.509,2.197,35.217,-41.443,-195.923
69470,-0.696,-0.720,2.365,42.969,-40.161,-198.059
69478,-0.809,-0.988,2.523,46.997,-34.668,-200.256
69487,-0.972,-1.314,2.672,43.518,-23.193,-199.646
69496,-1.113,-1.620,2.760,36.804,-6.592,-193.665
69504,-1.216,-1.863,2.772,33.386,11.902,-183.105
69513,-1.349,-1.976,2.622,36.743,36.560,-169.067
69522,-1.316,-2.029,2.655,41.077,57.068,-152.588
69531,-1.307,-2.057,2.456,39.490,79.346,-133.057
69540,-1.240,-2.026,2.398,42.419,113.708,-121.338
69548,-1.231,-2.078,2.172,42.297,129.639,-103.455
69557,-1.208,-2.031,1.976,38.452,140.747,-82.214
69566,-1.148,-1.948,1.800,36.438,151.611,-62.134
69575,-1.064,-1.850,1.603,38.025,163.574,-43.152
69583,-1.041,-1.773,1.318,39.734,174.927,-27.161
69592,-0.956,-1.692,1.061,37.476,182.495,-14.709
69601,-0.928,-1.676,0.766,32.959,185.242,-3.845
69610,-0.904,-1.640,0.545,26.123,183.472,7.385
69618,-0.876,-1.587,0.353,19.775,180.237,18.860
69627,-0.837,-1.548,0.178,16.479,175.110,29.785
69636,-0.809,-1.485,0.008,11.963,169.861,40.588
69645,-0.750,-1.383,-0.132,6.287,163.818,51.453
69654,-0.678,-1.269,-0.278,2.808,157.776,61.340
69662,-0.621,-1.159,-0.435,-1.099,152.405,70.068
69671,-0.567,-1.031,-0.550,-10.132,145.752,78.308
69680,-0.501,-0.883,-0.633,-18.555,137.634,86.792
69689,-0.418,-0.757,-0.718,-18.555,126.892,93.811
69697,-0.335,-0.613,-0.818,-12.695,114.380,101.013
69706,-0.282,-0.488,-0.927,-4.944,100.281,107.605
69715,-0.231,-0.332,-0.986,0.610,83.557,114.075
69724,-0.149,-0.185,-0.985,5.371,64.514,119.019
69732,-0.063,-0.029,-0.969,11.292,46.753,121.521
69741,-0.018,0.091,-0.979,14.465,32.959,122.864
69750,-0.000,0.170,-1.000,10.315,21.362,122.742
69759,0.016,0.199,-1.010,4.211,9.277,121.460
69767,0.010,0.210,-1.018,3.479,-3.235,120.911
69776,0.006,0.232,-0.991,7.568,-18.127,121.521
69785,0.002,0.250,-0.958,14.587,-33.936,122.681
69794,0.018,0.306,-0.917,22.583,-49.438,124.023
69803,0.030,0.373,-0.899,29.968,-63.721,125.488
69811,0.042,0.456,-0.882,32.349,-75.562,126.038
69820,0.087,0.582,-0.806,26.367,-86.670,126.038
69829,0.115,0.723,-0.711,14.587,-95.520,124.207
69838,0.119,0.820,-0.625,4.089,-101.074,119.324
69846,0.115,0.930,-0.502,-4.761,-106.140,113.281
69855,0.110,1.051,-0.396,-11.169,-110.168,106.812
69864,0.065,1.153,-0.331,-14.648,-113.098,99.304
69873,0.027,1.247,-0.277,-18.372,-119.141,91.309
69882,0.014,1.298,-0.178,-17.761,-127.625,81.604
69890,-0.025,1.356,-0.044,-12.756,-136.597,72.937
69899,-0.057,1.412,0.092,-5.249,-144.714,64.819
69908,-0.088,1.481,0.307,-1.953,-152.466,56.030
69916,-0.109,1.555,0.641,-3.174,-158.325,47.058
69925,-0.187,1.547,0.786,-3.052,-162.781,37.659
69934,-0.171,1.576,1.007,-3.052,-157.349,26.306
69943,-0.259,1.544,1.066,0.793,-156.250,17.151
69952,-0.239,1.491,1.202,3.296,-150.452,7.446
69960,-0.237,1.477,1.365,8.179,-143.555,0.732
69969,-0.222,1.555,1.470,17.334,-137.634,-4.822
69978,-0.209,1.626,1.516,25.208,-128.845,-12.024
69987,-0.208,1.644,1.634,26.855,-120.056,-22.217
69995,-0.166,1.658,1.810,22.949,-112.244,-32.166
70004,-0.176,1.644,1.899,21.667,-100.098,-41.199
70013,-0.230,1.499,1.962,18.616,-88.318,-51.758
70022,-0.388,1.341,2.099,5.920,-79.224,-60.852
70031,-0.371,1.036,2.128,-7.019,-69.031,-63.232
70039,-0.575,0.890,2.108,-11.353,-59.021,-69.275
70048,-0.668,0.761,2.114,-9.949,-52.734,-72.327
70057,-0.767,0.535,2.079,-4.395,-44.678,-75.500
70065,-0.779,0.380,2.124,1.770,-39.978,-81.421
70074,-0.828,0.176,2.185,15.808,-33.081,-88.379
70083,-0.875,0.013,2.088,35.828,-23.254,-93.201
70092,-0.877,-0.154,1.959,46.570,-14.648,-95.154
70101,-0.859,-0.284,1.868,46.570,-10.498,-94.116
70110,-0.877,-0.414,1.740,42.297,-7.996,-91.675
70118,-0.860,-0.557,1.636,37.354,-10.742,-89.966
70127,-0.818,-0.663,1.617,32.471,-15.198,-87.952
70136,-0.795,-0.758,1.629,29.724,-16.968,-84.656
70145,-0.693,-0.668,2.194,26.367,-19.470,-78.247
70153,-0.828,-0.997,1.598,37.109,-34.058,-68.604
70162,-0.714,-1.031,1.681,37.048,-9.888,-70.679
70171,-0.707,-1.018,1.650,39.001,-5.005,-58.777
70180,-0.665,-1.067,1.522,45.471,3.784,-52.368
70188,-0.636,-1.089,1.387,44.861,10.864,-45.471
70197,-0.584,-1.066,1.299,35.583,17.273,-37.231
70206,-0.552,-1.041,1.230,25.940,22.278,-29.419
70215,-0.520,-1.004,1.165,19.531,24.597,-22.522
70223,-0.483,-0.980,1.132,14.771,25.330,-14.893
70232,-0.436,-0.883,1.318,11.536,24.902,-7.385
70241,-0.415,-0.899,1.031,17.456,23.010,-1.343
70250,-0.373,-0.787,1.005,21.667,26.978,5.249
70259,-0.350,-0.651,0.956,21.973,25.452,12.085
70267,-0.313,-0.553,0.907,21.912,25.208,15.015
70276,-0.294,-0.502,0.856,20.813,25.085,16.479
70285,-0.281,-0.472,0.822,17.273,24.353,17.700
70293,-0.277,-0.433,0.814,12.573,23.560,20.020
70302,-0.270,-0.406,0.805,10.254,23.132,21.545
70311,-0.254,-0.369,0.793,9.888,22.583,23.437
70320,-0.247,-0.318,0.787,10.132,21.240,25.574
70329,-0.237,-0.265,0.779,10.010,18.921,26.733
70338,-0.224,-0.220,0.781,9.888,16.052,27.283
70346,-0.203,-0.167,0.787,10.742,13.367,26.733
70355,-0.198,-0.115,0.776,12.573,11.292,25.818
70364,-0.191,-0.087,0.775,13.489,9.277,24.414
