aX,aY,aZ,gX,gY,gZ,millis
-0.808,-0.314,-0.293,-380.615,76.416,-231.567,28722
-0.734,-0.439,-0.485,-339.6,45.044,-227.051,28731
-0.76,-0.519,-0.577,-310.608,2.563,-216.919,28740
-0.741,-0.58,-0.646,-295.837,-47.363,-208.313,28749
-0.724,-0.61,-0.66,-293.213,-101.013,-204.346,28758
-0.695,-0.679,-0.584,-290.222,-153.015,-201.66,28766
-0.642,-0.754,-0.501,-271.79,-200.562,-199.646,28775
-0.608,-0.801,-0.442,-234.192,-238.647,-199.036,28783
-0.551,-0.861,-0.405,-180.603,-263.55,-197.998,28792
-0.48,-0.951,-0.393,-118.469,-281.86,-194.092,28801
-0.363,-1.104,-0.299,-54.382,-295.898,-183.777,28810
-0.282,-1.262,-0.147,12.817,-308.289,-163.086,28819
-0.271,-1.352,-0.001,71.899,-326.416,-133.606,28828
-0.245,-1.312,0.128,109.131,-354.37,-100.342,28836
-0.192,-1.226,0.343,134.521,-378.601,-63.11,28845
-0.215,-1.196,0.546,161.072,-386.108,-24.902,28854
-0.262,-1.215,0.734,192.688,-382.996,4.456,28863
-0.248,-1.22,0.862,224.06,-375.305,25.391,28871
-0.242,-1.245,0.982,248.596,-367.249,50.72,28880
-0.284,-1.317,1.109,263.245,-362.122,87.402,28889
-0.347,-1.376,1.269,267.09,-354.065,135.498,28898
-0.486,-1.383,1.468,264.954,-336.609,191.65,28906
-0.559,-1.379,1.712,270.935,-298.279,245.544,28915
-0.625,-1.414,1.963,284.668,-250.854,289.856,28924
-0.732,-1.469,2.177,297.729,-223.999,321.655,28933
-0.894,-1.488,2.301,302.612,-217.468,343.323,28942
-1.017,-1.46,2.478,292.114,-204.712,360.718,28950
-1.073,-1.431,2.658,275.269,-180.298,373.901,28959
-1.136,-1.423,2.82,259.277,-152.588,380.92,28968
-1.202,-1.397,2.97,240.967,-119.019,378.662,28977
-1.267,-1.315,3.018,213.074,-75.623,368.286,28986
-1.297,-1.205,2.977,176.331,-29.663,357.117,28994
-1.288,-1.095,2.932,132.08,9.888,352.966,29003
-1.23,-1.041,2.988,80.505,49.133,354.675,29012
-1.244,-1.002,2.929,23.987,88.196,355.835,29021
-1.198,-0.992,2.875,-33.691,132.141,351.868,29029
-1.246,-0.936,2.704,-89.539,172.18,337.83,29038
-1.26,-0.869,2.529,-135.376,219.299,315.063,29047
-1.255,-0.801,2.309,-171.143,268.433,290.405,29056
-1.28,-0.631,2.063,-204.285,305.176,266.174,29065
-1.316,-0.435,1.82,-231.995,320.801,242.493,29073
-1.321,-0.277,1.622,-255.859,324.097,216.614,29082
-1.323,-0.125,1.481,-282.471,318.481,187.012,29090
-1.349,0.063,1.267,-318.726,304.199,149.536,29099
-1.389,0.234,1.013,-361.389,281.982,108.154,29108
-1.383,0.38,0.746,-411.316,243.774,57.861,29117
-1.286,0.486,0.577,-464.233,189.453,-4.883,29126
-1.167,0.419,0.502,-504.7,135.01,-69.397,29134
-1.03,0.285,0.44,-530.029,93.079,-126.953,29143
-0.892,0.091,0.32,-536.926,65.063,-171.448,29152
-0.788,-0.113,0.096,-526.489,42.358,-201.355,29161
-0.728,-0.255,-0.144,-504.944,13.306,-218.811,29170
-0.675,-0.304,-0.382,-477.905,-32.837,-229.309,29178
-0.628,-0.374,-0.462,-449.341,-91.248,-231.934,29187
-0.619,-0.456,-0.488,-421.875,-146.24,-230.713,29196
-0.588,-0.521,-0.464,-390.381,-193.665,-229.004,29205
-0.589,-0.613,-0.435,-347.717,-232.483,-227.661,29214
-0.59,-0.676,-0.424,-287.109,-260.437,-228.333,29222
-0.633,-0.786,-0.371,-207.214,-276.306,-228.943,29231
-0.093,-1.604,1.0,207.275,-411.682,0.671,29766
-0.13,-1.591,1.08,247.864,-386.658,41.443,29775
-0.227,-1.539,1.171,275.452,-355.774,90.21,29784
-0.411,-1.452,1.31,294.556,-325.562,143.188,29792
-0.601,-1.37,1.483,310.547,-304.016,194.214,29801
-0.803,-1.299,1.602,325.562,-309.937,235.779,29810
-0.996,-1.3,1.7,334.839,-334.778,268.982,29819
-1.045,-1.337,1.868,329.163,-344.055,299.866,29827
-1.036,-1.391,2.12,312.5,-334.167,330.261,29836
-1.021,-1.458,2.352,299.194,-306.824,358.826,29845
-1.057,-1.49,2.543,294.067,-255.493,381.226,29854
-1.157,-1.552,2.634,292.175,-186.768,396.301,29862
-1.201,-1.542,2.661,276.611,-121.399,402.832,29871
-1.204,-1.588,2.726,240.356,-74.829,404.724,29880
-1.313,-1.423,2.699,178.589,-47.058,397.339,29888
-1.247,-1.179,2.679,111.755,-24.109,379.822,29897
-1.143,-1.057,2.651,50.293,14.526,367.31,29906
-1.049,-1.019,2.57,-12.085,65.125,358.765,29915
-1.005,-1.05,2.414,-72.693,115.906,353.027,29924
-0.922,-1.053,2.332,-125.427,171.082,349.487,29932
-0.914,-1.072,2.204,-160.95,226.746,346.558,29941
-1.025,-1.232,2.088,-179.687,275.635,337.28,29950
-1.227,-1.17,1.911,-191.833,307.861,311.951,29959
-1.338,-0.771,1.537,-201.721,312.5,269.287,29968
-1.299,-0.498,1.28,-197.388,310.913,231.75,29976
-1.244,-0.296,1.126,-194.763,304.871,198.059,29985
-1.161,-0.142,1.002,-212.646,289.368,163.025,29994
-1.06,-0.001,0.945,-252.93,272.583,128.357,30003
-1.019,0.116,0.836,-306.274,249.878,94.238,30012
-1.003,0.192,0.704,-370.056,215.21,54.565,30020
-0.942,0.243,0.6,-438.904,170.349,8.362,30029
-0.879,0.149,0.48,-496.582,123.413,-38.025,30038
-0.782,0.025,0.416,-535.217,81.055,-80.139,30047
-0.712,-0.091,0.302,-549.5,41.931,-117.188,30055
-0.634,-0.188,0.154,-541.016,5.92,-151.428,30064
-0.595,-0.275,0.008,-512.512,-27.832,-179.565,30073
-0.514,-0.29,-0.121,-471.863,-66.223,-202.209,30082
-0.446,-0.3,-0.14,-427.368,-106.75,-214.6,30090
-0.429,-0.303,-0.147,-385.01,-143.738,-220.154,30099
-0.431,-0.32,-0.121,-336.67,-171.753,-223.816,30108
-0.443,-0.375,-0.104,-280.273,-186.218,-226.074,30117
-0.451,-0.452,-0.088,-220.154,-190.735,-228.882,30126
-0.474,-0.554,-0.101,-156.311,-195.312,-231.14,30134
-0.506,-0.626,-0.104,-93.567,-204.529,-230.774,30143
-0.517,-0.721,-0.049,-37.476,-214.844,-223.755,30151
-0.51,-0.775,-0.008,6.897,-234.802,-211.426,30160
-0.461,-0.851,0.085,38.757,-260.193,-194.153,30169
-0.431,-0.924,0.212,58.96,-285.706,-170.288,30178
-0.311,-0.995,0.359,71.533,-307.312,-141.052,30187
-0.209,-1.057,0.543,93.14,-328.857,-111.023,30195
-0.163,-1.142,0.624,126.099,-341.675,-85.449,30204
-0.093,-1.183,0.664,160.461,-334.045,-65.125,30213
-0.071,-1.219,0.691,191.284,-311.401,-37.292,30222
-0.118,-1.264,0.737,213.684,-281.25,-0.61,30231
-0.182,-1.274,0.822,226.013,-253.845,40.039,30239
-0.263,-1.224,0.947,230.286,-242.004,81.299,30248
-0.37,-1.181,1.035,234.924,-256.775,118.408,30257
-0.508,-1.135,1.083,240.173,-285.4,151.245,30266
-0.629,-1.111,1.171,239.685,-299.438,183.228,30275
-0.697,-1.172,1.326,236.572,-293.823,213.623,30283
-0.751,-1.215,1.483,233.643,-275.879,238.892,30292
-0.778,-1.305,1.614,233.887,-252.869,259.766,30301
-0.768,-1.407,1.814,233.704,-227.478,279.907,30310
-0.766,-1.502,1.997,229.675,-206.665,300.293,30318
-0.802,-1.557,2.264,216.919,-184.448,319.153,30327
-0.849,-1.504,2.412,191.772,-149.292,334.656,30336
-0.911,-1.399,2.561,162.109,-102.417,342.834,30345
-0.925,-1.286,2.717,125.854,-44.556,344.604,30354
-0.916,-1.188,2.856,84.839,14.282,346.375,30362
-0.891,-1.097,2.964,41.87,67.017,348.145,30371
-0.83,-1.035,3.025,-3.113,115.601,347.717,30379
-0.797,-1.013,3.035,-51.575,167.419,343.689,30388
-0.841,-0.957,2.928,-101.868,219.482,329.712,30397
-0.889,-0.812,2.684,-146.484,260.559,304.016,30406
-1.0,-0.649,2.416,-184.57,292.847,276.611,30415
-1.131,-0.522,2.091,-222.046,316.833,250.61,30423
-1.207,-0.383,1.772,-263.672,326.477,220.642,30432
-1.155,-0.213,1.428,-309.509,316.406,187.561,30441
-1.037,-0.047,1.176,-357.117,288.879,153.259,30450
-0.928,0.042,1.018,-400.391,256.409,121.094,30459
-0.842,0.098,0.884,-437.561,223.938,88.501,30467
-0.807,0.138,0.75,-467.529,192.2,53.528,30476
-0.831,0.136,0.633,-486.023,162.781,12.512,30485
-0.851,0.095,0.534,-494.446,134.033,-36.865,30494
-0.822,0.034,0.357,-491.211,104.553,-92.407,30503
-0.745,-0.055,0.101,-480.713,79.895,-143.494,30511
-0.64,-0.217,-0.106,-465.027,51.514,-180.969,30520
-0.584,-0.445,-0.23,-440.613,10.803,-200.256,30529
-0.549,-0.562,-0.265,-411.438,-45.776,-207.947,30538
-0.521,-0.609,-0.247,-384.094,-108.948,-213.257,30546
-0.54,-0.61,-0.242,-359.009,-166.138,-219.055,30555
-0.515,-0.625,-0.23,-331.421,-211.06,-225.403,30564
-0.522,-0.628,-0.248,-297.18,-241.76,-230.652,30573
-0.528,-0.679,-0.248,-252.502,-260.803,-232.483,30582
-0.505,-0.795,-0.225,-195.007,-271.729,-230.347,30590
-0.475,-0.931,-0.198,-126.77,-278.32,-224.976,30599
-0.397,-1.046,-0.078,-55.786,-281.799,-215.759,30608
