millis,aX,aY,aZ,gX,gY,gZ
100509,-0.056,0.098,0.982,0.183,3.540,2.502
100517,-0.052,0.099,0.984,0.549,3.357,1.831
100526,-0.051,0.099,0.983,0.488,3.357,1.953
100535,-0.051,0.099,0.982,0.427,3.235,2.197
100544,-0.049,0.101,0.982,0.427,3.113,2.014
100553,-0.048,0.103,0.981,0.061,2.991,2.014
100561,-0.051,0.103,0.982,-0.366,3.052,2.136
100570,-0.052,0.103,0.981,-0.793,3.174,2.380
100579,-0.053,0.104,0.983,-1.038,2.808,2.502
100588,-0.052,0.108,0.982,-1.160,2.747,2.197
100597,-0.050,0.115,0.985,-1.160,2.747,1.282
100605,-0.053,0.102,0.974,-1.465,2.319,0.549
100614,-0.052,0.108,0.991,-1.587,2.380,0.427
100623,-0.054,0.097,0.980,-1.404,2.380,0.793
100632,-0.053,0.095,0.985,-0.916,2.563,1.343
100641,-0.054,0.096,0.986,-0.427,2.563,1.892
100649,-0.058,0.097,0.979,0.183,2.441,2.441
100658,-0.055,0.100,0.987,0.366,2.686,2.686
